id,year,budget_type,revenue,expenditure,budget_balance,revenue_category,expenditure_category,region,agency,budget_planned,budget_executed,execution_rate,program_code,program_name,subProgram_code,subProgram_name,amount
127,2024,местный,22000000000,22000002500.0,-2500.0,неналоговые,жилищно-коммунальное хозяйство,Павлодарская область,Газовые службы Павлодарской области,250000000,100000,0.04,7,Развитие ЖКХ,007-13,Газификация сельских населенных пунктов,125000000
128,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,цирковое искусство,республиканский уровень,Комитет культуры МКиС РК,200000000,2000000,1.0,68,Развитие циркового искусства,068-1,Поддержка цирковых коллективов,100000000
129,2024,местный,20000000000,20000002000.0,-2000.0,налоги,образование,Кызылординская область,Лицеи Кызылординской области,200000000,50000,0.025,1,Развитие образования,001-14,Одаренные дети,100000000
130,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,хореография,республиканский уровень,Комитет культуры МКиС РК,150000000,1000000,0.7000000000000001,69,Развитие хореографического искусства,069-1,Национальный балет,75000000
131,2024,местный,18000000000,18000001800.0,-1800.0,налоги,здравоохранение,Мангистауская область,Диагностические центры Мангистауской области,180000000,20000,0.011,2,Развитие здравоохранения,002-14,Высокотехнологичная медицинская помощь,90000000
132,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,вокальное искусство,республиканский уровень,Комитет культуры МКиС РК,120000000,500000,0.4,70,Развитие вокального искусства,070-1,Оперное искусство,60000000
133,2024,местный,16000000000,16000001600.0,-1600.0,неналоговые,социальная помощь,Атырауская область,Центры временного содержания Атырауской области,160000000,10000,0.006,3,Социальная поддержка населения,003-14,Социальная помощь бездомным,80000000
134,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,инструментальная музыка,республиканский уровень,Комитет культуры МКиС РК,100000000,200000,0.2,71,Развитие инструментальной музыки,071-1,Симфонические оркестры,50000000
135,2024,местный,14000000000,14000001400.0,-1400.0,налоги,транспорт,Жамбылская область,Логистические центры Жамбылской области,140000000,5000,0.004,5,Развитие транспортной инфраструктуры,005-14,Транспортно-логистические центры,70000000
136,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,эстрадное искусство,республиканский уровень,Комитет культуры МКиС РК,80000000,100000,0.1,72,Развитие эстрадного искусства,072-1,Эстрадные коллективы,40000000
137,2024,местный,12000000000,12000001200.0,-1200.0,налоги,жилищно-коммунальное хозяйство,Акмолинская область,Лифтовые службы Акмолинской области,120000000,2000,0.002,7,Развитие ЖКХ,007-14,Модернизация лифтового хозяйства,60000000
138,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,джазовая музыка,республиканский уровень,Комитет культуры МКиС РК,60000000,50000,0.08,73,Развитие джазовой музыки,073-1,Джазовые фестивали,30000000
139,2024,местный,10000000000,10000001000.0,-1000.0,неналоговые,образование,Туркестанская область,Интернаты Туркестанской области,100000000,1000,0.001,1,Развитие образования,001-15,Школы-интернаты,50000000
140,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,литературная деятельность,республиканский уровень,Комитет культуры МКиС РК,50000000,20000,0.04,74,Развитие литературы,074-1,Поддержка писателей,25000000
141,2024,местный,9000000000,9000000900.0,-900.0,налоги,здравоохранение,Улытау,Фельдшерско-акушерские пункты области Улытау,90000000,500,0.0006000000000000001,2,Развитие здравоохранения,002-15,Первичная медицинская помощь в сельской местности,45000000
142,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,критика искусства,республиканский уровень,Комитет культуры МКиС РК,40000000,10000,0.025,75,Развитие искусствоведения,075-1,Критика и искусствоведение,20000000
143,2024,местный,8000000000,8000000800.0,-800.0,налоги,социальная помощь,Абай,Кризисные центры области Абай,80000000,200,0.00030000000000000003,3,Социальная поддержка населения,003-15,Кризисные центры для женщин,40000000
144,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,культурология,республиканский уровень,Комитет культуры МКиС РК,30000000,5000,0.017,76,Культурологические исследования,076-1,Исследования культурного наследия,15000000
145,2024,местный,7000000000,7000000700.0,-700.0,неналоговые,транспорт,Жетісу,Автовокзалы области Жетісу,70000000,100,0.0001,5,Развитие транспортной инфраструктуры,005-15,Автовокзалы и автостанции,35000000
146,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,культурный туризм,республиканский уровень,Комитет культуры МКиС РК,25000000,2000,0.008,77,Культурный туризм,077-1,Культурные маршруты,12500000
147,2024,местный,6000000000,6000000600.0,-600.0,налоги,жилищно-коммунальное хозяйство,Костанайская область,Службы озеленения Костанайской области,60000000,50,8e-05,7,Развитие ЖКХ,007-15,Озеленение населенных пунктов,30000000
148,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,анимация,республиканский уровень,Комитет культуры МКиС РК,20000000,1000,0.005,78,Развитие анимации,078-1,Анимационные фильмы,10000000
149,2024,местный,5000000000,5000000500.0,-500.0,налоги,образование,Павлодарская область,Центры дополнительного образования Павлодарской области,50000000,20,4e-05,1,Развитие образования,001-16,Внешкольное образование,25000000
150,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,документальное кино,республиканский уровень,Комитет культуры МКиС РК,15000000,500,0.003,79,Документальное кино,079-1,Производство документальных фильмов,7500000
151,2024,местный,4500000000,4500000450.0,-450.0,неналоговые,здравоохранение,Кызылординская область,Центры семейной медицины Кызылординской области,45000000,10,2e-05,2,Развитие здравоохранения,002-16,Семейная медицина,22500000
152,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,короткометражное кино,республиканский уровень,Комитет культуры МКиС РК,12000000,200,0.002,80,Короткометражное кино,080-1,Молодые кинематографисты,6000000
153,2024,местный,4000000000,4000000400.0,-400.0,налоги,социальная помощь,Мангистауская область,Психологические службы Мангистауской области,40000000,5,1e-05,3,Социальная поддержка населения,003-16,Психологическая помощь,20000000
154,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,детское кино,республиканский уровень,Комитет культуры МКиС РК,10000000,100,0.001,81,Детское кино,081-1,Фильмы для детей,5000000
155,2024,местный,3500000000,3500000350.0,-350.0,налоги,транспорт,Атырауская область,Паромные переправы Атырауской области,35000000,2,6e-06,5,Развитие транспортной инфраструктуры,005-16,Паромные переправы,17500000
156,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,научно-популярное кино,республиканский уровень,Комитет культуры МКиС РК,8000000,50,0.0006000000000000001,82,Научно-популярное кино,082-1,Образовательные фильмы,4000000
157,2024,местный,3000000000,3000000300.0,-300.0,неналоговые,жилищно-коммунальное хозяйство,Жамбылская область,Службы по уборке Жамбылской области,30000000,1,3e-06,7,Развитие ЖКХ,007-16,Санитарная очистка территорий,15000000
158,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,киноархивы,республиканский уровень,Комитет культуры МКиС РК,6000000,20,0.00030000000000000003,83,Сохранение киноархивов,083-1,Реставрация кинофильмов,3000000
159,2024,местный,2800000000,2800000280.0,-280.0,налоги,образование,Акмолинская область,Музыкальные школы Акмолинской области,28000000,0,0.0,1,Развитие образования,001-17,Музыкальное образование детей,14000000
160,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,кинофестивали,республиканский уровень,Комитет культуры МКиС РК,5000000,10,0.0002,84,Кинофестивали,084-1,Международные кинофестивали,2500000
161,2024,местный,2500000000,2500000250.0,-250.0,налоги,здравоохранение,Туркестанская область,Станции переливания крови Туркестанской области,25000000,0,0.0,2,Развитие здравоохранения,002-17,Служба крови,12500000
162,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,киноклубы,республиканский уровень,Комитет культуры МКиС РК,4000000,5,0.0001,85,Киноклубное движение,085-1,Поддержка киноклубов,2000000
163,2024,местный,2200000000,2200000220.0,-220.0,неналоговые,социальная помощь,Улытау,Службы экстренного реагирования области Улытау,22000000,0,0.0,3,Социальная поддержка населения,003-17,Экстренная социальная помощь,11000000
164,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,видеоискусство,республиканский уровень,Комитет культуры МКиС РК,3000000,2,7.000000000000001e-05,86,Развитие видеоискусства,086-1,Экспериментальное видео,1500000
165,2024,местный,2000000000,2000000200.0,-200.0,налоги,транспорт,Абай,Мостовые службы области Абай,20000000,0,0.0,5,Развитие транспортной инфраструктуры,005-17,Строительство и ремонт мостов,10000000
166,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,мультимедиа,республиканский уровень,Комитет культуры МКиС РК,2500000,1,4e-05,87,Мультимедийное искусство,087-1,Интерактивные проекты,1250000
167,2024,местный,1800000000,1800000180.0,-180.0,налоги,жилищно-коммунальное хозяйство,Жетісу,Службы контроля качества воды области Жетісу,18000000,0,0.0,7,Развитие ЖКХ,007-17,Контроль качества питьевой воды,9000000
168,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,перформанс,республиканский уровень,Комитет культуры МКиС РК,2000000,0,0.0,88,Перформанс и акционизм,088-1,Современное искусство,1000000
169,2024,местный,1600000000,1600000160.0,-160.0,неналоговые,образование,Костанайская область,Специальные школы Костанайской области,16000000,0,0.0,1,Развитие образования,001-18,Специальное образование,8000000
170,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,инсталляции,республиканский уровень,Комитет культуры МКиС РК,1500000,0,0.0,89,Искусство инсталляций,089-1,Арт-объекты в общественных пространствах,750000
171,2024,местный,1400000000,1400000140.0,-140.0,налоги,здравоохранение,Павлодарская область,Медицинские лаборатории Павлодарской области,14000000,0,0.0,2,Развитие здравоохранения,002-18,Лабораторная диагностика,7000000
172,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,ленд-арт,республиканский уровень,Комитет культуры МКиС РК,1200000,0,0.0,90,Ленд-арт,090-1,Искусство в природе,600000
173,2024,местный,1200000000,1200000120.0,-120.0,налоги,социальная помощь,Кызылординская область,Центры трудовой реабилитации Кызылординской области,12000000,0,0.0,3,Социальная поддержка населения,003-18,Трудовая реабилитация инвалидов,6000000
174,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,стрит-арт,республиканский уровень,Комитет культуры МКиС РК,1000000,0,0.0,91,Стрит-арт,091-1,Легальные граффити,500000
175,2024,местный,1000000000,1000000100.0,-100.0,неналоговые,транспорт,Мангистауская область,Дорожные знаки Мангистауской области,10000000,0,0.0,5,Развитие транспортной инфраструктуры,005-18,Дорожные знаки и разметка,5000000
176,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,боди-арт,республиканский уровень,Комитет культуры МКиС РК,800000,0,0.0,92,Боди-арт,092-1,Искусство росписи тела,400000
177,2024,местный,900000000,900000090.0,-90.0,налоги,жилищно-коммунальное хозяйство,Атырауская область,Службы дератизации Атырауской области,9000000,0,0.0,7,Развитие ЖКХ,007-18,Санитарно-эпидемиологические мероприятия,4500000
178,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,керамика,республиканский уровень,Комитет культуры МКиС РК,600000,0,0.0,93,Керамическое искусство,093-1,Традиционная керамика,300000
179,2024,местный,800000000,800000080.0,-80.0,налоги,образование,Жамбылская область,Центры профориентации Жамбылской области,8000000,0,0.0,1,Развитие образования,001-19,Профессиональная ориентация,4000000
180,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,текстильное искусство,республиканский уровень,Комитет культуры МКиС РК,500000,0,0.0,94,Текстильное искусство,094-1,Традиционное ткачество,250000
181,2024,местный,700000000,700000070.0,-70.0,неналоговые,здравоохранение,Акмолинская область,Реабилитационные центры Акмолинской области,7000000,0,0.0,2,Развитие здравоохранения,002-19,Медицинская реабилитация детей,3500000
182,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,ювелирное искусство,республиканский уровень,Комитет культуры МКиС РК,400000,0,0.0,95,Ювелирное искусство,095-1,Национальные ювелирные традиции,200000
183,2024,местный,600000000,600000060.0,-60.0,налоги,социальная помощь,Туркестанская область,Социальные мастерские Туркестанской области,6000000,0,0.0,3,Социальная поддержка населения,003-19,Социальные мастерские для людей с инвалидностью,3000000
184,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,костюм,республиканский уровень,Комитет культуры МКиС РК,300000,0,0.0,96,Искусство костюма,096-1,Национальный костюм,150000
185,2024,местный,500000000,500000050.0,-50.0,налоги,транспорт,Улытау,Диспетчерские службы области Улытау,5000000,0,0.0,5,Развитие транспортной инфраструктуры,005-19,Транспортная диспетчеризация,2500000
186,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,каллиграфия,республиканский уровень,Комитет культуры МКиС РК,250000,0,0.0,97,Каллиграфия,097-1,Арабская каллиграфия,125000
187,2024,местный,450000000,450000045.0,-45.0,неналоговые,жилищно-коммунальное хозяйство,Абай,Снегоуборочные службы области Абай,4500000,0,0.0,7,Развитие ЖКХ,007-19,Зимняя уборка территорий,2250000
188,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,орнамент,республиканский уровень,Комитет культуры МКиС РК,200000,0,0.0,98,Орнаментальное искусство,098-1,Казахский орнамент,100000
189,2024,местный,400000000,400000040.0,-40.0,налоги,образование,Жетісу,Центры тестирования области Жетісу,4000000,0,0.0,1,Развитие образования,001-20,Национальное тестирование,2000000
190,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,миниатюра,республиканский уровень,Комитет культуры МКиС РК,150000,0,0.0,99,Миниатюрная живопись,099-1,Восточная миниатюра,75000
191,2024,местный,350000000,350000035.0,-35.0,налоги,здравоохранение,Костанайская область,Центры здоровья Костанайской области,3500000,0,0.0,2,Развитие здравоохранения,002-20,Центры здоровья,1750000
192,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,резьба по дереву,республиканский уровень,Комитет культуры МКиС РК,100000,0,0.0,100,Резьба по дереву,100-1,Традиционная резьба,50000
193,2024,местный,320000000,320000032.0,-32.0,неналоговые,социальная помощь,Павлодарская область,Центры занятости Павлодарской области,3200000,0,0.0,3,Социальная поддержка населения,003-20,Содействие трудоустройству,1600000
194,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,гончарное дело,республиканский уровень,Комитет культуры МКиС РК,80000,0,0.0,101,Гончарное искусство,101-1,Керамические традиции,40000
195,2024,местный,300000000,300000030.0,-30.0,налоги,транспорт,Кызылординская область,Службы светофоров Кызылординской области,3000000,0,0.0,5,Развитие транспортной инфраструктуры,005-20,Светофорное хозяйство,1500000
196,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,кожевенное дело,республиканский уровень,Комитет культуры МКиС РК,70000,0,0.0,102,Кожевенное искусство,102-1,Традиционная обработка кожи,35000
197,2024,местный,280000000,280000028.0,-28.0,налоги,жилищно-коммунальное хозяйство,Мангистауская область,Службы уличного освещения Мангистауской области,2800000,0,0.0,7,Развитие ЖКХ,007-20,Уличное освещение,1400000
198,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,войлочное дело,республиканский уровень,Комитет культуры МКиС РК,60000,0,0.0,103,Войлочное искусство,103-1,Производство войлока,30000
199,2024,местный,260000000,260000026.0,-26.0,неналоговые,образование,Атырауская область,Центры раннего развития Атырауской области,2600000,0,0.0,1,Развитие образования,001-21,Раннее развитие детей,1300000
200,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,седельное дело,республиканский уровень,Комитет культуры МКиС РК,50000,0,0.0,104,Седельное мастерство,104-1,Конская упряжь,25000
201,2023,республиканский,16800000000000,19200000000000.0,-2400000000000.0,налоги,образование,республиканский уровень,Министерство образования и науки РК,2500000000000,2380000000000,95.2,1,Развитие образования,001-1,Дошкольное и среднее образование,1100000000000
202,2023,республиканский,16800000000000,19200000000000.0,-2400000000000.0,налоги,здравоохранение,республиканский уровень,Министерство здравоохранения РК,2000000000000,1950000000000,97.5,2,Развитие здравоохранения,002-1,Первичная медико-санитарная помощь,850000000000
203,2023,местный,6500000000000,6720000000000.0,-220000000000.0,налоги,социальная помощь,Алматы,Акимат г. Алматы,780000000000,760000000000,97.4,3,Социальная поддержка населения,003-1,Адресная социальная помощь,380000000000
204,2023,республиканский,16800000000000,19200000000000.0,-2400000000000.0,неналоговые,оборона,республиканский уровень,Министерство обороны РК,1650000000000,1620000000000,98.2,4,Обеспечение обороноспособности,004-1,Содержание вооруженных сил,1100000000000
205,2023,местный,4200000000000,4350000000000.0,-150000000000.0,налоги,транспорт,Астана,Акимат г. Астана,580000000000,570000000000,98.3,5,Развитие транспортной инфраструктуры,005-1,Дорожное строительство,320000000000
206,2025,республиканский,21200000000000,24800000000000.0,-3600000000000.0,налоги,образование,республиканский уровень,Министерство образования и науки РК,3200000000000,0,0.0,1,Развитие образования,001-1,Дошкольное и среднее образование,1400000000000
207,2025,республиканский,21200000000000,24800000000000.0,-3600000000000.0,налоги,здравоохранение,республиканский уровень,Министерство здравоохранения РК,2800000000000,0,0.0,2,Развитие здравоохранения,002-1,Первичная медико-санитарная помощь,1100000000000
208,2025,местный,8500000000000,8750000000000.0,-250000000000.0,налоги,социальная помощь,Алматы,Акимат г. Алматы,950000000000,0,0.0,3,Социальная поддержка населения,003-1,Адресная социальная помощь,480000000000
209,2025,республиканский,21200000000000,24800000000000.0,-3600000000000.0,неналоговые,оборона,республиканский уровень,Министерство обороны РК,2100000000000,0,0.0,4,Обеспечение обороноспособности,004-1,Содержание вооруженных сил,1400000000000
210,2025,местный,5800000000000,5950000000000.0,-150000000000.0,налоги,транспорт,Астана,Акимат г. Астана,750000000000,0,0.0,5,Развитие транспортной инфраструктуры,005-1,Дорожное строительство,420000000000
211,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,цифровая трансформация,республиканский уровень,Министерство цифрового развития РК,480000000000,450000000000,93.8,105,Цифровая трансформация государства,105-1,Электронное правительство,280000000000
212,2024,местный,240000000,240000024.0,-24.0,налоги,здравоохранение,Жамбылская область,Станции скорой помощи Жамбылской области,2400000,0,0.0,2,Развитие здравоохранения,002-21,Экстренная медицинская помощь,1200000
213,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,искусственный интеллект,республиканский уровень,Министерство цифрового развития РК,180000000000,165000000000,91.7,106,Развитие искусственного интеллекта,106-1,ИИ в государственном управлении,120000000000
214,2024,местный,220000000,220000022.0,-22.0,неналоговые,социальная помощь,Акмолинская область,Центры социальной адаптации Акмолинской области,2200000,0,0.0,3,Социальная поддержка населения,003-21,Социальная адаптация,1100000
215,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,блокчейн технологии,республиканский уровень,Министерство цифрового развития РК,120000000000,108000000000,90.0,107,Внедрение блокчейн технологий,107-1,Блокчейн в госуслугах,80000000000
216,2024,местный,200000000,200000020.0,-20.0,налоги,транспорт,Туркестанская область,Центры технического осмотра Туркестанской области,2000000,0,0.0,5,Развитие транспортной инфраструктуры,005-21,Технический осмотр транспорта,1000000
217,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,большие данные,республиканский уровень,Министерство цифрового развития РК,95000000000,85000000000,89.5,108,Развитие технологий больших данных,108-1,Государственные данные,65000000000
218,2024,местный,180000000,180000018.0,-18.0,неналоговые,жилищно-коммунальное хозяйство,Улытау,Службы аварийного реагирования области Улытау,1800000,0,0.0,7,Развитие ЖКХ,007-21,Аварийно-диспетчерская служба,900000
219,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,кибербезопасность,республиканский уровень,Министерство цифрового развития РК,220000000000,210000000000,95.5,109,Обеспечение кибербезопасности,109-1,Защита критической информационной инфраструктуры,150000000000
220,2024,местный,160000000,160000016.0,-16.0,налоги,образование,Абай,Центры цифрового образования области Абай,1600000,0,0.0,1,Развитие образования,001-22,Цифровые навыки,800000
221,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,интернет вещей,республиканский уровень,Министерство цифрового развития РК,75000000000,68000000000,90.7,110,Интернет вещей,110-1,Умный город,50000000000
222,2024,местный,140000000,140000014.0,-14.0,налоги,здравоохранение,Жетісу,Центры цифровой медицины области Жетісу,1400000,0,0.0,2,Развитие здравоохранения,002-22,Цифровое здравоохранение,700000
223,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,квантовые технологии,республиканский уровень,Министерство науки и высшего образования РК,45000000000,40000000000,88.9,111,Квантовые технологии,111-1,Квантовые вычисления,30000000000
224,2024,местный,120000000,120000012.0,-12.0,неналоговые,социальная помощь,Костанайская область,Цифровые центры социальных услуг Костанайской области,1200000,0,0.0,3,Социальная поддержка населения,003-22,Цифровые социальные услуги,600000
225,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,робототехника,республиканский уровень,Министерство индустрии и инфраструктурного развития РК,85000000000,75000000000,88.2,112,Развитие робототехники,112-1,Промышленные роботы,55000000000
226,2024,местный,100000000,100000010.0,-10.0,налоги,транспорт,Павлодарская область,Центры умного транспорта Павлодарской области,1000000,0,0.0,5,Развитие транспортной инфраструктуры,005-22,Интеллектуальные транспортные системы,500000
227,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,нанотехнологии,республиканский уровень,Министерство науки и высшего образования РК,65000000000,58000000000,89.2,113,Развитие нанотехнологий,113-1,Наноматериалы,42000000000
228,2024,местный,90000000,90000009.0,-9.0,неналоговые,жилищно-коммунальное хозяйство,Кызылординская область,Центры умного ЖКХ Кызылординской области,900000,0,0.0,7,Развитие ЖКХ,007-22,Умное управление коммунальными ресурсами,450000
229,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,биотехнологии,республиканский уровень,Министерство науки и высшего образования РК,55000000000,48000000000,87.3,114,Развитие биотехнологий,114-1,Медицинские биотехнологии,35000000000
230,2024,местный,80000000,80000008.0,-8.0,налоги,образование,Мангистауская область,IT-академии Мангистауской области,800000,0,0.0,1,Развитие образования,001-23,IT-образование,400000
231,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,аддитивные технологии,республиканский уровень,Министерство индустрии и инфраструктурного развития РК,42000000000,35000000000,83.3,115,3D-печать и аддитивные технологии,115-1,Промышленная 3D-печать,25000000000
232,2024,местный,70000000,70000007.0,-7.0,налоги,здравоохранение,Атырауская область,Центры персонализированной медицины Атырауской области,700000,0,0.0,2,Развитие здравоохранения,002-23,Персонализированная медицина,350000
233,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,виртуальная реальность,республиканский уровень,Министерство культуры и спорта РК,25000000000,20000000000,80.0,116,VR/AR технологии,116-1,Виртуальные музеи,15000000000
234,2024,местный,60000000,60000006.0,-6.0,неналоговые,социальная помощь,Жамбылская область,Центры VR-реабилитации Жамбылской области,600000,0,0.0,3,Социальная поддержка населения,003-23,VR-реабилитация,300000
235,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,дроны и БПЛА,республиканский уровень,Министерство по чрезвычайным ситуациям РК,35000000000,28000000000,80.0,117,Беспилотные авиационные системы,117-1,БПЛА для мониторинга,20000000000
236,2024,местный,50000000,50000005.0,-5.0,налоги,транспорт,Акмолинская область,Службы дронов-доставки Акмолинской области,500000,0,0.0,5,Развитие транспортной инфраструктуры,005-23,Беспилотная доставка,250000
237,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,машинное обучение,республиканский уровень,Министерство цифрового развития РК,68000000000,55000000000,80.9,118,Машинное обучение,118-1,ML в государственном управлении,40000000000
238,2024,местный,45000000,45000004.5,-4.5,неналоговые,жилищно-коммунальное хозяйство,Туркестанская область,Системы ML-анализа ЖКХ Туркестанской области,450000,0,0.0,7,Развитие ЖКХ,007-23,Прогнозная аналитика в ЖКХ,225000
239,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,компьютерное зрение,республиканский уровень,Министерство внутренних дел РК,58000000000,45000000000,77.6,119,Компьютерное зрение,119-1,Видеоаналитика безопасности,35000000000
240,2024,местный,40000000,40000004.0,-4.0,налоги,образование,Улытау,Центры компьютерного зрения области Улытау,400000,0,0.0,1,Развитие образования,001-24,Технологии распознавания в образовании,200000
241,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,обработка естественного языка,республиканский уровень,Комитет по языкам МКиС РК,28000000000,22000000000,78.6,120,Обработка естественного языка,120-1,NLP для казахского языка,18000000000
242,2024,местный,35000000,35000003.5,-3.5,налоги,здравоохранение,Абай,Системы NLP-диагностики области Абай,350000,0,0.0,2,Развитие здравоохранения,002-24,Языковая диагностика,175000
243,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,рекомендательные системы,республиканский уровень,Министерство цифрового развития РК,22000000000,17000000000,77.3,121,Рекомендательные системы,121-1,Персонализация госуслуг,14000000000
244,2024,местный,30000000,30000003.0,-3.0,неналоговые,социальная помощь,Жетісу,Системы персонализированной соцпомощи области Жетісу,300000,0,0.0,3,Социальная поддержка населения,003-24,Персонализированная социальная помощь,150000
245,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,автономные системы,республиканский уровень,Министерство транспорта РК,85000000000,65000000000,76.5,122,Автономный транспорт,122-1,Беспилотные автомобили,50000000000
246,2024,местный,25000000,25000002.5,-2.5,налоги,транспорт,Костанайская область,Тест-полигоны автономного транспорта Костанайской области,250000,0,0.0,5,Развитие транспортной инфраструктуры,005-24,Тестирование беспилотного транспорта,125000
247,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,цифровые двойники,республиканский уровень,Министерство индустрии и инфраструктурного развития РК,42000000000,32000000000,76.2,123,Цифровые двойники,123-1,Цифровые модели городов,25000000000
248,2024,местный,22000000,22000002.2,-2.2,неналоговые,жилищно-коммунальное хозяйство,Павлодарская область,Цифровые двойники ЖКХ Павлодарской области,220000,0,0.0,7,Развитие ЖКХ,007-24,Цифровые модели коммунальной инфраструктуры,110000
249,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,неналоговые,краудсорсинг,республиканский уровень,Министерство информации и общественного развития РК,15000000000,11000000000,73.3,124,Краудсорсинговые платформы,124-1,Гражданское участие,9000000000
250,2024,местный,20000000,20000002.0,-2.0,налоги,образование,Кызылординская область,Платформы краудсорсинга образования Кызылординской области,200000,0,0.0,1,Развитие образования,001-25,Коллективное обучение,100000
251,2024,республиканский,18500000000000,22100000000000.0,-3600000000000.0,налоги,гидрометеорология,республиканский уровень,Комитет экологического регулирования и контроля МЭ РК,48000000000,42000000000,87.5,125,Гидрометеорологическая служба,125-1,Метеорологические наблюдения,32000000000
252,2024,местный,18000000,18000001.8,-1.8,налоги,здравоохранение,Мангистауская область,Метеостанции здравоохранения Мангистауской области,180000,0,0.0,2,Развитие здравоохранения,002-25,Медицинская метеорология,90000
